	epoch	step	train_loss	val_loss
1	1	0	0.5719084143638611	
2	1	50	0.19760538637638092	
3	1	100	0.19333314895629883	
4	1	final	0.18164826929569244	0.17985246578852335
5	2	0	0.18917137384414673	
6	2	50	0.1826939880847931	
7	2	100	0.17866463959217072	
8	2	final	0.1872607171535492	0.17733687162399292
9	3	0	0.18788515031337738	
10	3	50	0.18016532063484192	
11	3	100	0.17466619610786438	
12	3	final	0.17833241820335388	0.1756239403039217
13	4	0	0.18524393439292908	
14	4	50	0.16969425976276398	
15	4	100	0.17094069719314575	
16	4	final	0.17445839941501617	0.17446190491318703
17	5	0	0.16510488092899323	
18	5	50	0.1684068888425827	
19	5	100	0.18301644921302795	
20	5	final	0.16333118081092834	0.17212864259878793
21	6	0	0.1756816953420639	
22	6	50	0.1630946695804596	
23	6	100	0.19162636995315552	
24	6	final	0.18350738286972046	0.17175166619320711
25	7	0	0.17534689605236053	
26	7	50	0.17174145579338074	
27	7	100	0.16775858402252197	
28	7	final	0.16467039287090302	0.1706076543778181
29	8	0	0.17582711577415466	
30	8	50	0.18603773415088654	
31	8	100	0.1713181585073471	
32	8	final	0.17477159202098846	0.17120299426217875
33	9	0	0.17327652871608734	
34	9	50	0.1676916629076004	
35	9	100	0.163096621632576	
36	9	final	0.1658513993024826	0.1701400832583507
37	10	0	0.1731775552034378	
38	10	50	0.17762787640094757	
39	10	100	0.16261132061481476	
40	10	final	0.17559148371219635	0.1696088227132956
41	11	0	0.18429647386074066	
42	11	50	0.1712663471698761	
43	11	100	0.17490920424461365	
44	11	final	0.19657830893993378	0.16940412173668543
45	12	0	0.1940692514181137	
46	12	50	0.168771430850029	
47	12	100	0.1750907003879547	
48	12	final	0.16220925748348236	0.16894135313729444
49	13	0	0.17411816120147705	
50	13	50	0.18420682847499847	
51	13	100	0.16533051431179047	
52	13	final	0.1664026826620102	0.16925315807263056
53	14	0	0.1719229370355606	
54	14	50	0.16229671239852905	
55	14	100	0.16783446073532104	
56	14	final	0.18781735002994537	0.1690831712136666
57	15	0	0.17354972660541534	
58	15	50	0.17272108793258667	
59	15	100	0.19356492161750793	
60	15	final	0.15255241096019745	0.16943592888613543
61	16	0	0.17405369877815247	
62	16	50	0.16360361874103546	
63	16	100	0.1647053211927414	
64	16	final	0.17981410026550293	0.16780641799171767
65	17	0	0.17330361902713776	
66	17	50	0.17635001242160797	
67	17	100	0.17083801329135895	
68	17	final	0.1815517246723175	0.16824991442263126
69	18	0	0.18815696239471436	
70	18	50	0.17859303951263428	
71	18	100	0.17568905651569366	
72	18	final	0.17981524765491486	0.16819822415709496
73	19	0	0.1744198203086853	
74	19	50	0.17882567644119263	
75	19	100	0.17120836675167084	
76	19	final	0.1381978690624237	0.16835582442581654
77	20	0	0.17268407344818115	
78	20	50	0.1718061864376068	
79	20	100	0.18084585666656494	
80	20	final	0.15927433967590332	0.16851608144740263
81	21	0	0.16261744499206543	
82	21	50	0.1755761355161667	
83	21	100	0.17150607705116272	
84	21	final	0.16328047215938568	0.16955482897659144
85	22	0	0.1665373146533966	
86	22	50	0.1785777360200882	
87	22	100	0.16835664212703705	
88	22	final	0.14309647679328918	0.1674065738916397
89	23	0	0.1709824651479721	
90	23	50	0.1650964468717575	
91	23	100	0.18180151283740997	
92	23	final	0.18233294785022736	0.16772928088903427
93	24	0	0.1636040210723877	
94	24	50	0.16685850918293	
95	24	100	0.16694137454032898	
96	24	final	0.19059523940086365	0.1670485349992911
97	25	0	0.15843364596366882	
98	25	50	0.15219135582447052	
99	25	100	0.16616711020469666	
100	25	final	0.14735950529575348	0.1676599302639564
101	26	0	0.17290852963924408	
102	26	50	0.1688985526561737	
103	26	100	0.16343319416046143	
104	26	final	0.1612386554479599	0.16755564448734125
105	27	0	0.1493278294801712	
106	27	50	0.17670787870883942	
107	27	100	0.17010720074176788	
108	27	final	0.18130220472812653	0.1681638906399409
109	28	0	0.16314992308616638	
110	28	50	0.166616752743721	
111	28	100	0.17857259511947632	
112	28	final	0.1782459020614624	0.16795048117637634
113	29	0	0.164952352643013	
114	29	50	0.1674106866121292	
115	29	100	0.1757054626941681	
116	29	final	0.2051105797290802	0.16719543126722178
117	30	0	0.16622695326805115	
118	30	50	0.17145204544067383	
119	30	100	0.16952185332775116	
120	30	final	0.19942770898342133	0.16768642080326876
121	31	0	0.16072864830493927	
122	31	50	0.15616540610790253	
123	31	100	0.16934694349765778	
124	31	final	0.1711106300354004	0.16670618082086244
125	32	0	0.17237943410873413	
126	32	50	0.16616550087928772	
127	32	100	0.16632160544395447	
128	32	final	0.1522415280342102	0.1680896201481422
129	33	0	0.17329804599285126	
130	33	50	0.16181330382823944	
131	33	100	0.17357337474822998	
132	33	final	0.15282747149467468	0.16676167522867522
133	34	0	0.16804537177085876	
134	34	50	0.1709432154893875	
135	34	100	0.1535731852054596	
136	34	final	0.1715768426656723	0.16616233624517918
137	35	0	0.17885805666446686	
138	35	50	0.16812077164649963	
139	35	100	0.16181908547878265	
140	35	final	0.15429222583770752	0.1670808202276627
141	36	0	0.16670918464660645	
142	36	50	0.16523241996765137	
143	36	100	0.1682058870792389	
144	36	final	0.1494423896074295	0.16723466850817204
145	37	0	0.1749008744955063	
